row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,match,image_id,image_locality,image_title,image_dates,image_series,date_agrees,annotazioni
769,1067,Italia,Morozzo,"Madonna Assunta, detta anche del Castello Murato",19-6-1903,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 19 giugno 1903. Nessun riferimento in internet.
770,1077,Italia,Postua,Madonna Addolorata,15-8-1903,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 16 agosto 1903.
771,1014,Italia,"Bergamo, Borgo Santa Caterina",Santa Maria Addolorata,17-8-1903,Capitolo,sì,1,,,,,,,,
772,874,Italia,San Sosti,Madonna del Pettoruto,6-9-1903,Capitolo,sì,1,place+title+year,maria-santissima-del-pettoruto-s-sosti-san-sosti,"S. Sosti (San Sosti), Calabria",Maria Santissima del Pettoruto,1903,AAS,yes,
773,753,Messico,San Giovanni dei Laghi,Nostra Signora di San Giovanni dei Laghi,28-12-1903,#,no,#,,,,,,,,"ERR - Frate Anselmo: nell'elenco per date data l'incoronazione 28 dicembre 1903, mettendo tra parentesi: Decretata, mentre nell'elenco per località mette sotto un'unica località due date: 28 dicembre 1903 e 4 dicembre 1904. ERR - Bonci: data l'incoronazione 28 dicembre 1903."
774,891,Italia,Arpaia,Madonna delle Grazie,28-2-1904,Capitolo,sì,1,,,,,,,,Frate Anselmo: data l'incoronazione 28 febbraio 1904.
775,994,Italia,Genova,Madonna del Monte,25-3-1904,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 25 marzo 1904. Nessun riferimento in internet.
776,973,Italia,Roma,Madonna della Misericordia,6-4-1904,#,no,#,,,,,,,,"Frate Anselmo: data l'incoronazione 6 aprile 1904, in Vaticano per mano di papa Pio X. Nessun riferimento in internet."
777,987,Italia,Tarquinia,Madonna di Valverde,8-5-1904,Capitolo,sì,1,,,,,,,,Frate Anselmo: la colloca a Corneto Tarquinia.
778,862,Italia,Collecorvino,Madonna dei Miracoli,28-5-1904,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 28 maggio 1904 con Breve Papale. Nessun riferimento in internet.
779,1037,Italia,Milano,Maria Bambina,31-5-1904,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
780,1057,Italia,Campobasso,Madonna del Monte,5-6-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con la data di incoronazione.
